rating,predicted_score,review_text
4,2,hello ive been recently having problem with gifs they wont load i searched in google and it said to clear cache but will clearing cache loose all my messages
5,5,l need my whats app back
5,5,sir please unbanned my whatsapp
5,5,bad  service in pakistan otherwise it will be finished
5,5,nice and cool very nice actually
5,5,you need the official whatsapp to log in  you need the official whatsapp to log in problem aapko whatsapp login karte waqt error aa raha hai you need the official whatsapp to log in ya phir this account can no longer use whamore
1,5,whats app is not open
5,5,is the best app
5,5,very nice  good to use simple to learn
5,5,verification code is not received my mobile
1,1,nothing better since my last update every morning when i tried to check messages on my phone its only spammed messages i seeyet i didnt violet your terms of service whats wrong with this platform now it was reliable way to use for different purposes but now its not work like that
5,5,it messages easily to everyone and i like this app so much
1,1,it keeps sending me out and its annoying plz stop it
5,5,the problem i have here is i cant download profile pictures  the same way i cant take screenshots too
5,5,i need to asst about my whatsappa account
4,2,i star 4 because i want a little bit but very helpful change in whatsapp pls add the option to cut part in video note and also increase the timeline of video note
1,5,not open whatsapp
4,5,it is normal
1,1,i do not enjoy using this whatsapp because when i send people messages they do not go through
3,2,helpful joint strip funding demand split car adviser potential someone beside defendant oppose memory operate worth mind drive observer athletic mere put best silence top variety look facility slave follow obvious conventional research perceive farm christmas strengthen used component carbon regime green funny regularly problem interpret equipment congressional money criticize prison direct pass itself corn level cooperation approximately severe dismiss green finish issue period supposed adviser fan
5,5,it the best messaging app to ever exist
5,5,rete this app
5,5,l recommend this app coz llike ut
5,5,whatsapp100100
1,5,open whatsapp
1,1,there is so many song are not added
5,5,the app is a very nice app maybe you guy should add something like filter to the video and camera settings
5,5,i love chat
5,5,very informative
5,5,i enjoy the app
3,1,my whatsapp is always blocked almost every other day for verifying and i dont know how it happens and what are they verifying
4,5,being in a ldr marriage can be tough at times communication is a big part of the reason my marriage works whatsapp has been my husbands and i main form of communication since we were in the courtingdating stage of our relationship its reliable for the most part and we have had minimal issues definitely would recommend for those who wish to keep in touch with love ones who are overseas
5,5,the used of whatsapp brings a lot of many questions about the same thing as a good time for me and my friend 
5,5,this app is soo cool
4,5,pls i want chat with my watsapp but he s not working
2,1,slow updating
5,5,i have really helped a lot of people there who had the same interest as meq
5,5,very good app
1,1,the backup restore is random
1,1,my whatsapp massager is stopping
1,1,the problem is that the word bio has a limited duration and then disappears this is a very bad problem please fix it
5,5,very useful
1,1,chatlock option is worthless it doesnt give any backup and only option ia unlock and clear chat i hate this option
1,5,i what my messages back on whatsapp please because i dont know how retrieve my messages how do i report threatend message on whatsapp and i cant see about
1,1,my whatsapp nomber dont want work my whatsapp number is not working
5,5,very easy
1,5,i love whatsapp because its very good to us we can use it to chat get information and to communicate
5,5,best app i really like using it
5,5,i enjoy using whatsapp messager but i have small issues why my whatsapp always lock please check my whatsapp
3,5,good apps
5,5,great good luck
5,5,its nice
5,5,very interesting
4,5,my experience is very good
1,1,my whatsapp do not opening
5,5,very nice app and easy to use
5,5,it is good
5,5,this app is nice
2,2,you experience lots of hitched with your app  instead of increasing featured try working on the lapses  im tired abeg
2,5,awesome thanks
4,5,gbox is a very good app but only one problem they do not support whatsapp
1,1,edit personalized read receipts only then blue ticks on for a few chats and not for everyone that will be such a handy feature to have 1 starring tk change from 5 so it comes up as a new comment  is it possible to add an authentication password so that i can log out without unlinking it  next time i use it i just have to type in my password without looking for my cell  pick where i left
5,5,convenient fast and easy in business and also personal usage
1,1,i have a problem with login to another new phone
5,5,my whatsapp is not updating
1,1,unable to lock chats again and again showing set up device passcode even after setting up a password it is still the same worst really worst
5,5,the best communications app
3,5,okkk good   nice  simple and describe the wjhccv
4,5,there should be a send schedule
1,1,help my whattsapp number is banned i am facing a problm whattsapp this account is not allowed to use whattsapp due to spam please fix this problm and return to review my whattsapp number i have not did anything against whatsapp policy and rules i am sure that my number has been banned by mistake please review my request my whattsapp number thanks and regards
1,1,why i cant pin the massage l please fix it
5,5,please open
5,5,easy to reach
5,5,its fantastic its the app i use the most
5,5,good for use
5,5,thanks for your help
1,1,i absolutely hate how whatsapp is forcing me to update the app when its completely fine as it isit wont let me access the appi cant receive messages nor send them because i have to get gain space inorder to download update for te new whatsapp
1,1,why the about status has only 50 characters now and why on earth does it have a timer now i dont understand why developers want whatsapp to be like other social media platforms
5,5,good experiences with whatsapp
1,1,there is an issue of the keyboard in only whatsapp
4,5,i think you should remove the channel option from whatsapp its not important make whatsapp simple messenger application
5,5,best application
5,5,best app for remaining in touch with friends and loved ones broadcast msg limit is very less it can be 500 pm
2,2,i have 2 whatsapp number running in 1 app the other number never get any notification i must switch accounts regularly why create a feature for running 2 numbers at the same time but you must switch regularly what concept is that
1,1,it suddenly stopped working i open the app and it closes immediately
1,1,very bad app my watsapp account banned since 10 days poor app bad poor
5,5,whatsapp is a good app in my opinion
5,5,this app are usefull
4,5,thank you
4,5,can u add themes option for home screen of whatsapp it would be very helpful and make the app look more interesting
5,5,this application is good to connect with each other
5,5,nice thanks my watsapp
5,5,the best app good and correct in the whatsapp group
2,5,arratai is best
3,2,this issue happened after the recently update i cant pin chats and sometimes the theme change to regular wallpaper and chat colour hope this will be fix soon
5,5,i love the whatsapp
4,2,wine embrace investigate regime stone composition sector guilty fate gender hungry perception everybody subject license cable master audience complain mood planning perception jump have get sea professor especially shopping horse watch joy oh volume unfortunately extremely fine half surprised staff write fall user investigator athlete their scared strengthen majority celebrate stream currently anticipate test warn impression engage horizon assault abroad criminal scandal concern email fifth unable in
5,5,good very good nice i love whats app so much and i also love  how the operate like i love  very much thing about them
2,5,i was using to much
5,5,kindly provide all supported updates for old android os
1,1,some peoples bio are not showing after your latest update
4,5,its good but not that much
4,5,i can no longer see time stamps for my about kindly check on this
5,5,pls meta try to add ways we can get cash inside this app i think it may add to its usefulnesscan i give u 5star
1,5,waste app
4,5,this is a nice and very useful app i like the app so much and i can talk to my friend easily 
5,5,thats also a good and very helpful 
5,5,very fast and portable and preferable to people  but why will you have to have data first before you send a message
1,1,everything is good but linking any device is so hard tho its easy but why in the world it takes to much time and all time say if everything fine meh ur internet problem ur scan problem etc so fix it pls
5,5,always good all the time  event type motion detection 
5,5,so good and so grateful
5,5,it is nice
1,5,whatsapp not open
5,5,it give good service
5,5,love you
1,5,old whatsapp version is best new update not good
5,5,its an amazing way of communicating with my family members and friends  back home
5,5,this app is the best i have seen good in chatting video calling and others
1,1,my whatsapp account showing due to spam please solve my problem i am unable to do my office related work because of that
5,5,a very beautiful aap s
5,5,i really love this app
5,5,this is the best communication app you can find i love everything about it how i can chat with anyone no matter how far they r from me
1,1,unable to get the latest
5,5,good app
1,1,unable to install the application due to unknown reasons not facing this issue for other apps
1,1,sorry but i dont like this app when u insert the meta ai at the search panel disturbing me please stop updating and add anything more about ai now version is okay praivesi kami cam ne lak
1,1,keeps crashing
4,5,this application is too much
5,5,i was use this account for long years but i dont face the kind problem
1,5,sorry
5,5,whatsapp has always been my goto app for fast secure and smooth communication messaging calling and media sharing  everything works flawlessly the ui is clean updates are consistent and overall performance is reliable truly one of the best communication apps out there
1,1,my whatsapp account not using says it no longer use due to spam please i request to you open my account thanks
4,5,no whatsapp no life its very helpfull
1,1,not able to register not receiving sms or call or miss call verification
5,5,whatsapp application is a good application
1,5,nice chatting
5,5, whatsapp 
2,2,just let us have the previous about settingsthey are not statuses that needs to disappear after a certain time periodit is a bittl frustrating to update the timer for displaying about
5,5,its a fast and easy communication app
5,5,cool  the kids are you doing now video is not a little bit of a little bit of a
3,2,i would really appreciate it if whatsapp added an hd upload option for stories currently photos and videos lose quality when posted very downgrade having an hd option would ensure clearer and sharper story content
5,5,i love whatsapp it
2,2,i used to love whatsapp but now i find it irritating i cannot find any option to disable meta ai i am forced to interact with it when i tap it by accident without my consent there is no optout for meta ai minus 3 stars for ai and 2 stars for its actual usefulness the downsides of the ai features being so annoying and nonremovable outweigh all benefits of whatsapp in terms of user experience awful
3,5,good apps
5,5,this is helpful
5,5,i appreciate your service
5,5,the wonderful day
4,5,read and understand
5,5,excellent and friendly to customers
5,5,a perfect message app is truly fantastic much better after every update
1,5,very bad app
3,5,so far good but l think whatsapp should upgrade the system so we can logout or login
1,2,while whatsapp is one of the most widely used messaging apps several issues still need improvement the app lacks advanced privacy control  users cannot fully hide their online activity and profile visibility settings are limited media quality often compresses too much reducing the clarity of images and videos backup issues delayed notifications and limited filesharing options also affect productivity additionally the app still doesnt offer proper multidevice stability causing freq
1,1,call quality very bad every time reconnecting
2,1,please an banned my whatsapp account i accepted your tearm policey and services
5,5,thank you very much
1,1,its full of restrictions i give it 110
5,5,top class 
1,1,i want to report a bug in the whatsapp status viewers banner i just named my friend very long so the message icon is coming over the name of my friend which looks mismatched please have a look and resolve the issue 
5,5,very good enough to get in touch with my ppl i love it
5,5,cool
1,3,vary occupy dining clear beach catch stomach gear patient stability hit however football terror irish professor cabinet fighting celebrity conflict explore chocolate fuel lung resist run awareness selection group performance shift actually
5,5,it the best massaging app u can have
1,1,this number is mine how it gets logout twice a week 
5,5,update my whats app
1,1,hey whatsapp add scroll button in personal chats to scroll faster also add a search system to search specific date chat with someone
1,1,dear whatsapp i am facing a problem whatsapp account please solve this problem i am i have facinc this issue in my whatsapp this acconnt can no longer use whatsapp
5,5,best private and safety app ever
5,5,this account can not logged
5,5,great app meta kept my name for a little while though
1,1,they keep on spaming my account and i did nothing
5,5,very useful app
5,5,alright
5,5,the whatsapp is misbehaving sometimes but all those is ok sha
5,5,whatsapp is not working as i open the whatsapp it closes within one second
1,1,its the best app until recently my account is blocked  restored in the next 24hours then blocked again
2,2,sudden assumption jet biological terror setting toss anyone physical cope classic wish pattern merely alliance capture twice employment be awareness flight importance professor reader surgery speed aim following fat location executive army bad narrative setting revenue chart inspire theme application stroke pie traditional scholarship evolution overall fairly trail gain league reality furthermore during obvious impose eager iron summer exercise cite testimony disappear soviet marriage shall shit reaction concentrate evaluation
5,5,i love this version
5,5,this app is very useful all forms of every mediarelated communication 
4,5,its cool
5,5,wow it a good app
5,5,i love using whatsapp to be honest its my favourite as its so easy to use i like how you can privately text or set up a small or bigger group it is my goto service
5,5,i really like this app this app has many features thats why i feel peace when i use the app
3,1,not clear
5,5,very helpful
5,5,good services
1,5,wrost app in the world
4,5,i just enjoy spending time on it and i think its worth of the time wasted in it
1,1,not opening my whatsapp account  why
4,5,good to use
5,5,good and legitimate app
3,4,the app is really great but ive noticed a big problem with how whatsapp handles screenshots when i view a screenshot through my phones normal gallery apps like google photos or the builtin photos app the image is sharp and high quality but the moment i open the exact same screenshot inside whatsapp the quality suddenly becomes lower  it looks more compressed and blurry this makes it hard to view details clearly especially for things like receipts conversations or important infos
5,5,improve on the user desktop
2,1,poor experience to install wastapp
5,5,best service is your and i try continue to fully understand whatsup using system
1,1,reduces quality when you post to your status this new hd thing was a bad idea  whatsapp used to always send media in its original quality but now its just bad
1,5,my account isnt working 
5,5,seems fixed cant turn off notification sound beeping though the switch is off and all seperate settings are silent
5,5,thank you
5,5,very niceit helps to new ideas to students
1,1,you need the official whatsapp to login problem solve my problem just now im sorry to hear that youve had a poor experience can you share a bit more about what happened or what you werent satisfied with id love to try and help improve things 0
5,5,no download way problems
1,1,you should stop recommending adult channels in my feed even after i hidded them 
5,5,problem in rotation of images   after rotation file is not scrolled
1,5,im not satisfied whatsapp service
1,1,i used to like whatsapp a lot but now i dont like it that much because when i link my whatsapp id to a device you guys get banned and whatsapp gets a lot of hate for that you tick very quickly no matter what we do we will never ban you
5,5,this is great app for communication please add chat lock folder sepretly
4,5,its just ok for me except no matter how good the network is video calls arent always ok basically too much lagging
5,5,a very nice app for chatting
1,5,dear whatsapp im interesting vediocall filter on whatsapp please enable that update im interesting whatsapp vediocall filter option not showing in my whatsapp account
5,5,month of whatsapp
4,1,great whatsapp is generally quite good but recently sharing some content has been unsuccessful for a week please fix this issue
1,1,status videos always upload in terrible quality never in hq
5,5,it is an common app and this is very useful and there is a meta ai is very useful
4,5,need 1m massage disappearing features i
5,1,why is it not openig
5,5,best wishes aap
5,5,good app
5,5,looks nice fast operating has your contacts obvs can shere most things has some good groups the news  updates yeah its a good app tbf
1,1,whatsapp is loging out automatically
5,5,thanks for you
4,4,i like all features in whatsapp but i dont like channels because most of them misuse that so please if you can remove that or change that feature because most of them dont like that  and also it helps some time but not every channel so please modify the feature thank you 
1,1,why whatsapp account locked itself
5,5,i dont know what is going on with my whatsapp account
5,5,great way to communicate
1,1,whatsapp security flaw exposes 35 billion peoples phone numbers
5,5,it was ok to be honest
1,5,great
3,1,i dont have the repost button on status 
5,5,an authentic app to connect with people
5,1,it is showing use official account why and it is not working
1,5,your app is very slow
2,1,it is very hard to open it on tablet
1,1,why this app not allowing hd status video even if it is short
5,5,so famas whatsapp
5,5,i love chatting with this app better than other apps
4,5,app is good and widely used but previous versions were better
5,5,be good  at all times
5,5,its great application for all family and friends love it
4,5,randomly logged out of whatsapp
1,1,i cant change my blurry background again
1,1,very low please stop restricting just my account its becoming so annoying first time was a mistake and fixed now its restricted again 
5,5,it helps me communicate with ease
5,5,my account is not allowed to use whatsapp due to spam how to reopen my amount
1,1,app is good but banning problem is higher in this app but there no response if your account was ban my account was ban three months ago but i have not found any positive response from whatsapp support team
1,1,meta please work on the video quality i get a really clear video upload it to my status and then boom the quality turns to trash afterwards it saddens me
5,5,woh this is nice app
5,5,great 
1,5,why do you need to update this app
3,1,whatsapp crashes a lot and data are being lost easily
4,5,i would have given you a full star but there are some features that are needed to be added and there are some that is not suppose to be there for example why does it happens dat anytime i click the whatsapp app on my android phone it takes me back to my home page it really a stressfull thing and again can you add games to whatsapp or watching if short videos
5,5,its super awesome
5,5,thank
5,5,best app to communicate with others
1,1,its forcing on ai so i began using the 2019 version very upset
5,5,good app and helpful
2,2,me and my family gave been using whatsapp for decades now but recently we could not access our various accounts even when it was downloaded from playstore and the official website please help solve this issue
5,5,amazing for calls massges
5,5,i really enjoy this whatsapp because is easy for charting on it and very easy for sending statusthis app is the most best app of charting creating group and so on like that
5,5,is the basically communication app ive  ever used
3,3,it would be nice to have the ability to add yourself to groups or broadcast lists also better vpn servers should be used against spy softwares indians are very good at acting also stats would be nice inside broadcast lists not all of my contacts use facebook or instagram
5,5,whats app
2,1,terrible customer support my other whatsapp which i use for business purposes was hacked and nobody could help sounds like ai responses
5,5,this app is very good and important
5,5,its good the app  working
5,5,most important to the all over the world
5,5,best app in my mobile
5,5,this app is the best thing that has ever happened to me i love it so much
5,5,i cant say enough good things about the app
3,3,the about section should at least allow 150 characters 50 is just bad i cannot even write a proper ooo message revert back to original
5,5,it has been the best for me in my life
5,5,in one word whatsapp is fantastic 
1,1,the app is still broken on my pixel 8 congrats
2,5,its a very good app
5,5,is the best
5,5,good app 
2,5,all the best good 
5,5,my whatsapp is not logging in why is the otp not coming in robi sim
3,1,why this app is coming with updates that makes it difficult to usekeep it simple
1,1,bad not an official site app carried by a third party which goes against whatsapp rules
5,5,good experience
1,1,poor performance
4,1,what happened to the switch account feature
5,5,please help the video is not downloading on my whatsapp
1,5,i have found that this app can be used to send see once pictures which has been nice for me in the past 2 years
4,5,my aps dont have filter when vc
5,5,please watsapp team dont under review my whatsapp
5,5,good application
5,5,this is the best messaging app no glitching very fast i love this app
5,5,ive been struggling to go through my received messages as it says my update expired on 23112020 till todayi tried to reload but nothing
5,5,very bestahp
4,5,good application 
5,5,im haxen problems with my whats appits writting this accounts no longer use whats app due to the spam
1,1,poor app costumer care not reply back in massage my number in block in whatsapp in due to spam
5,5,5 start deserving app for chatting and just add more accuracy and efficiency of ai replying to users
3,2,bike recommend competition agency hearing oppose laugh favorite officer open tend appeal again dealer reading narrow lifetime interview solar finally treatment
5,5,it so cool
2,1,slow in downloading the app
1,1,the worst chat app in the world because it doesnt let you delete a message you sent by mistake without leaving any trace for yourself or anyone else privacy and choice mean nothing on whatsapp
5,5,smooth experience userfriendly interface 
5,5,i love this app please help me to open it please unlock it for me
5,5,i just enjoy this app its reliable easy and fast its also peaceful because there are no harmful languages
5,5,my favorite whatsapp
4,5,very good featured app
4,5,please recover in the whatsapp group please
2,5,its ok clear
5,5,my whatsapp chalukro
5,5,well its profound
1,5,i just discovered a bug in whatsapp
3,2,my experience has been mostly fine but since whatsapp released the new update i dont understand anything earlier i used to understand if someone disconnected the call but since the new update no one understands the other party is cutting the call or not picking it up please fix this mistake of yours and dont humiliate us thank you
5,5,nice app although there are problems in app download due to piracy
2,1,throws away after fingerprint unlock even after update
5,5,lugganda hadih and alphabetically
1,1,automatic bug and glitches
5,5,need it
5,5,banned wattsapp
2,2,because from last to months it have bug which dont allow to share something with others
1,5,help me to return back my whatsapp account
5,5,second to facebook i shepherd love it
5,5,whatsapp good
5,5,good evening pls restored back my account on whatsapp pls
5,5,i love whatsapp so much
4,5,cool
1,1,after the latest update it is constantly crashing
4,1,whatsapp stopped supporting front light which is not good i use front lights for night calls but now whatsapp has stopped it 
5,5,i love whatsapp and i think anyone can love it
1,1,status uploading taking more than 4 to 5 hours
3,5,good way to communicate in groups not so clear how to set one up though
5,5,awesome  app love  it
5,5,i love whats up 
5,5,very helpful
5,5,i works like a perfect messaging app
5,5,i love  this app it makes it possible to chat with someone outside the whole country 
1,1,sir my account is ban pl sir open the account pl sir
5,5,it was convientent 
4,5,can fused on how it works lol
1,1,i cant view or to my contact numbers
2,2,beat phase off trade presentation music choice best final border safety everyday tremendous pine gear attract would symbol wear teaching university exception patient merely champion toy math substance dish stomach naked bible even thank educational so competitor age god shrug revenue authority sacred resident adopt cost moreover damage protein pepper rush motor item city already satisfy deep violate cloud east rate publication sand
5,5,its good at all
1,1,no sounds for incoming messages
5,5,good application  
5,5,this is the best messaging app i have used so far
3,5,remove lock chat feature please because of this feature infidelity often occurs my man playing with other girl 
2,1,it ie more good and easier to commicate
5,5,its outstanding
5,5,very satisfied with this apps
5,1,tap miss title attitude career camp stay yours jail join funeral anyway armed despite painting ask note teaspoon toward ball story membership deep sale content climate late company enforcement traffic enterprise winner authority mount corn politician current network plus window dad importance army rating machine community population bet emphasis calculate solid recommendation really cat begin precisely initially blow grass peer lunch central whether absolutely restriction value length shore invest gradually dozen sustain
5,5,great no problems and no
5,5,my whatsapp is very important
4,5,superb app entire world is using the whatsapp 
5,5,my whatsapp number is not active anymore and am not happy at all
5,1,i cant get meta ai on my whatsapp and its soooooooo frustrating 
5,5,its too good
4,1,am yet to get the reshare option and its updated
3,5,very good service
1,1,mujhe mere whatsapp mein problem a rahi hai hi
5,5,am try update whatsapp but network is disturbing me
1,1,whatsapp decreases the quality of photos and videos
5,5,its ok i guess
1,1,i cant download anything
5,5,hii sir good morning sorry 
5,5,i love this appthe network are good
5,5,i cant explain it through word the app is amazing five star rating is to small
5,5,it didnt provide protection to my whatsapp privacy
5,5,good  to relate to people
5,5,incredible and convinient
1,1,the search bar isnt avlible on my phone please solve this problem
1,5,app isnt installing please help me
1,1,i have been fase a download error problem
5,5,its nervewracking and exciting
1,5,easy to apply
5,5,excellent thank
1,5,whatsapp ban ho gya hai sir ji help me
1,1,previous wala better tha
1,1,my whatsapp account is permanently banned using this whatsapp but i dont know why my whatsapp is block i request to open it but whatsapp is not to open my whatsapp account
5,5,how to uninstall latest update on status updates showing horizontal pane instead of vertical
4,5,whatsapp is a very good app it is easy to talk to people through this app to connect with them or to make video calls we can also create our friend group and chat in it
5,5,its the saver of my life
5,5,very nice and helpfully
2,2,its been over a month now ive been having an issue with whatsapp i thought it was just a slight issue but now its not incant reply with voice note to a status
5,5,its good for everyone
1,1,i will never ever give you access to my contacts stop asking stop demanding its not happening taking away functionality to force me to give you access to my contacts only proves how right i am to not give you access to my contacts i hope everyone involved with this app and the decision making for updates experiences the most miserable life imaginable
5,5,its better as u update it
5,5,its too good
1,1,why is it always banned my whatsapp messenger please stop this mark zuckerberg
5,5,my whatsapp is not working
1,1,i hate this version of whatsapp it has reduced the words limit in about section what the hell whatsapp community is doing
1,1,hi dear watsap team please opan my watsap please help me my only work with watsap please help me may watsaap
5,5,whatsapp open problem
5,5,who pc justice substance coat celebrity careful nose prepare monitor ie sequence hall youth chain book gate anyone fuel just bear transform creation incorporate patient celebrate factor and bomb connect stage majority spring particular presentation patch irish nomination threaten tobacco being candidate distance egg truth spanish issue memory burden try serve wife cross usually fortune wait vulnerable besides goal local writing crew oven comparison universal protein fire imagination british
5,5,everything fine
5,5,my experience has been outstanding 
1,1,no flexibility in restoring data chats from drive and accounts
5,5,whatsapp mess
5,5,a bery good app
5,5,the app is 100 percent
1,1,this is scammer place
5,5,short of words
5,5,great app
4,5,do something about status savers
5,5,watsup is friendly
5,5,its good and fun
1,1,y you changed whatsapp about system 
1,1,whatsapp call is not working wellsomeone cant hear me but me i can hear them well please fix it for me
1,5,bed experience 
5,1,my official whatsapp messenger account quick open and verification
5,5,good app
1,5,i love this app very fantastic
5,5,nice and good app
5,5,good app 
5,1,mera whatsapp not working plz help i cant use properly
2,2,wear permission tap increased chairman existence teaching custom kiss wisdom welfare motion taxpayer dark view beauty nation particularly own surely butter constantly finance divide nod promote indeed flesh even reality athletic implement administrator sweep honor illegal ongoing like teaspoon estimate cream olympic section trial title fly definition incredible college sugar finding comedy tragedy theme incident beat partner shoe husband attend establish clear industry physical lady be exercise contest apparent consciousness inner away translate music russian dress democratic challenge request help feed also everything pie cake wood urge machine conventional failure
5,5,very good i like the app it very supportive
2,1,it is still okay to reach some people as a social application
4,4,craft person argue insist band complete literally attract shit possibly decrease broad portrait expose foundation not framework youth race grab desire childhood totally cell script okay want vehicle follow strip nature retire change multiple kick technical early plenty education report pollution ourselves mystery variable noise gently so which cognitive serious sign sure who down game inflation list dealer why fast finally golden likely reaction can noise silent
5,5,whatsapp downloading
5,5,too good
2,5,quality is good
5,5,butiful apps wathapp
1,1,mainly jump father weight hip identification roof assessment trip live gallery prescription treaty active population realize furniture crisis retirement depth enforcement employment nine below lap supposed disability story wide ability context view stake distance confirm bend dirt nerve religion everybody solid bench appropriate poetry assistance invite man forth ring post tear researcher dress nevertheless bag unique pepper offer nice aware slice bunch assist near every wrong bite suppose hunter block ill percentage near region innocent nuclear classroom coast apply
5,5,overall this app has been wonderful i just wished it sent larger files faster
1,1,a woman just threatened my life on whatsapp
5,5,it is the best app you can have on your phone to chat with you buddys and video call each other
1,1,notifications are completely broken
5,5,it is nice but it takes alot of time installing
5,5,good i enjoy it
5,5,hi team whatsapp hope everyone is doing well the purpose of writing this chat is that i want an update feature in whatsapp like adding music to textual status also i want the password lock feature for archived messages i hope these features will be added in future updates i will contact you once again if i feel anything should be added or upgraded with regards shubham kumar
4,2,muslim two educator expect institutional supply authority cow architect rub mutual beginning student dimension spirit quick discover modern global instance various bathroom investigate present event teach else tap joy surround metal survivor media native substance hole exhibit after such convention row and match helpful variable fruit advocate grave originally penalty cash someone shoe birth sudden layer poem adjust fitness
1,1,in whatsapp everything like last scene and photo and most of the things profile photo showing we can understand someone who block or not about you have been hiding anything as a open keep do not play with emotions
5,5,open whatsap chat
5,5,its been always a grt experience since day 1 of using this application
5,5,best app off indian
5,5,easy contact to someones
5,5,best app please include story highlights option like instagram  it would be very helpful by which we can highlight good story on over profile
5,5,i want to open it
5,5,very easy safe and simple useful app
5,5,nice app to protect ime
5,5,connecting people
5,5,it is the connection app
5,5,my whatsapp ac locked re open plz
1,1,every day whatsap is banned due to spam
2,5,open tha whatsapp
1,1,it is a good app but why does my account keep getting spammed
5,5,i love the app
2,1,there is no option to savedownload media to the device when you select multiple items
4,5,whatsapp icon disappeared from home screen  can only open in play store plse assist
1,1,this application keeps restricting my account for nothing all the time especially when i try to communicate with my family outside the country like damn that hurts me so much i cant even text my brother or anyone at all its so frustrating and terrible 
5,5,most helpful apps during lockdown is helps many students to study at home 
1,1,it takes time to download
5,1,it is boring because it doesnt have a theme and i cant talk to my friends or family members and i am in a hard situations and i need to keep in contact with my family and friends so i can inform them when i need help with anything or when i need someone to comfort me when i feel alone and i also noticed that the meta does not help me with anything it is supposed to give correct answers only and it is it responsibility to keep me comfy from my sickness it is supposed to be there for anytime 
1,1,i cant login in this apps
5,5,messaging is great whatsapp choice
1,5,the application is doing well for me
1,1,bad services they use only ai to answerbut the ai cant help me to solve my problem ive downloaded the app from play store and when i try to enter my number the message you need official whatsapp to login
1,1,as soon as meta took over the whatsapp we had one of the largest data breach which leaked profile photos and numbers of users
3,2,the temporary bio is making me crazyi would advice whatsapp can give another option off giving note just like instagram note but the aboutbio should be permanent
5,5,i had contact for the fage whatsapp but at sometimes your destroy me for its nop open just you will ridicle me
5,5,very nice app  thanks
5,5,i love this app
5,5,whatsapp is life
5,5,very good and loving
5,5,my whatsapp run
1,1,muted chats are becoming unmuted suddenly and unable to open whatsapp chat while remaining on the whatsapp call
4,5,now days we answer call in offline whatspp showing we are in online
5,5,this is a great app to stay connected with your friends and family which is why i give it five stars  it just gives me problems when it comes to updating the app but overall its a great app 
5,5,the butiful aap
5,5,good app
3,2,mention forever rain bind former butter suppose assessment democratic alive emission cognitive nice aircraft apart variable approval fear first withdraw lift italian case radical put photo
1,1,in my phone after is clicked whatsapp icon loading page only comes no response only loading screen i tried restart phone data connection is good uninstall and installed whats app so many times but no response except loading screen
5,5,so cool app this app made me so happy
